Id,Id2,Geography,Population,Margin of Error; Total
1500000US530330001001,530330001001,"Block Group 1, Census Tract 1, King County, Washington",1191,322
1500000US530330001002,530330001002,"Block Group 2, Census Tract 1, King County, Washington",995,248
1500000US530330001003,530330001003,"Block Group 3, Census Tract 1, King County, Washington",1590,317
1500000US530330001004,530330001004,"Block Group 4, Census Tract 1, King County, Washington",1704,462
1500000US530330001005,530330001005,"Block Group 5, Census Tract 1, King County, Washington",802,142
1500000US530330002001,530330002001,"Block Group 1, Census Tract 2, King County, Washington",989,202
1500000US530330002002,530330002002,"Block Group 2, Census Tract 2, King County, Washington",918,298
1500000US530330002003,530330002003,"Block Group 3, Census Tract 2, King County, Washington",1570,399
1500000US530330002004,530330002004,"Block Group 4, Census Tract 2, King County, Washington",1037,212
1500000US530330002005,530330002005,"Block Group 5, Census Tract 2, King County, Washington",1498,310
1500000US530330002006,530330002006,"Block Group 6, Census Tract 2, King County, Washington",1360,319
1500000US530330003001,530330003001,"Block Group 1, Census Tract 3, King County, Washington",1250,228
1500000US530330003002,530330003002,"Block Group 2, Census Tract 3, King County, Washington",1291,209
1500000US530330004011,530330004011,"Block Group 1, Census Tract 4.01, King County, Washington",3373,757
1500000US530330004012,530330004012,"Block Group 2, Census Tract 4.01, King County, Washington",1604,377
1500000US530330004013,530330004013,"Block Group 3, Census Tract 4.01, King County, Washington",1133,224
1500000US530330004021,530330004021,"Block Group 1, Census Tract 4.02, King County, Washington",1012,217
1500000US530330004022,530330004022,"Block Group 2, Census Tract 4.02, King County, Washington",975,216
1500000US530330004023,530330004023,"Block Group 3, Census Tract 4.02, King County, Washington",1151,289
1500000US530330004024,530330004024,"Block Group 4, Census Tract 4.02, King County, Washington",1358,276
1500000US530330005001,530330005001,"Block Group 1, Census Tract 5, King County, Washington",1185,180
1500000US530330005002,530330005002,"Block Group 2, Census Tract 5, King County, Washington",837,155
1500000US530330005003,530330005003,"Block Group 3, Census Tract 5, King County, Washington",1097,207
1500000US530330006001,530330006001,"Block Group 1, Census Tract 6, King County, Washington",1063,274
1500000US530330006002,530330006002,"Block Group 2, Census Tract 6, King County, Washington",1188,319
1500000US530330006003,530330006003,"Block Group 3, Census Tract 6, King County, Washington",1321,408
1500000US530330006004,530330006004,"Block Group 4, Census Tract 6, King County, Washington",1550,367
1500000US530330006005,530330006005,"Block Group 5, Census Tract 6, King County, Washington",610,190
1500000US530330006006,530330006006,"Block Group 6, Census Tract 6, King County, Washington",1473,308
1500000US530330007001,530330007001,"Block Group 1, Census Tract 7, King County, Washington",1808,397
1500000US530330007002,530330007002,"Block Group 2, Census Tract 7, King County, Washington",1008,236
1500000US530330007003,530330007003,"Block Group 3, Census Tract 7, King County, Washington",957,270
1500000US530330007004,530330007004,"Block Group 4, Census Tract 7, King County, Washington",582,135
1500000US530330008001,530330008001,"Block Group 1, Census Tract 8, King County, Washington",1270,235
1500000US530330008002,530330008002,"Block Group 2, Census Tract 8, King County, Washington",1421,236
1500000US530330009001,530330009001,"Block Group 1, Census Tract 9, King County, Washington",1250,172
1500000US530330009002,530330009002,"Block Group 2, Census Tract 9, King County, Washington",745,131
1500000US530330010001,530330010001,"Block Group 1, Census Tract 10, King County, Washington",806,212
1500000US530330010002,530330010002,"Block Group 2, Census Tract 10, King County, Washington",1085,176
1500000US530330011001,530330011001,"Block Group 1, Census Tract 11, King County, Washington",1216,361
1500000US530330011002,530330011002,"Block Group 2, Census Tract 11, King County, Washington",1433,203
1500000US530330012001,530330012001,"Block Group 1, Census Tract 12, King County, Washington",967,246
1500000US530330012002,530330012002,"Block Group 2, Census Tract 12, King County, Washington",961,230
1500000US530330012003,530330012003,"Block Group 3, Census Tract 12, King County, Washington",1396,336
1500000US530330012004,530330012004,"Block Group 4, Census Tract 12, King County, Washington",1241,453
1500000US530330012005,530330012005,"Block Group 5, Census Tract 12, King County, Washington",1661,390
1500000US530330013001,530330013001,"Block Group 1, Census Tract 13, King County, Washington",1569,297
1500000US530330013002,530330013002,"Block Group 2, Census Tract 13, King County, Washington",1678,290
1500000US530330013003,530330013003,"Block Group 3, Census Tract 13, King County, Washington",1331,380
1500000US530330014001,530330014001,"Block Group 1, Census Tract 14, King County, Washington",1487,344
1500000US530330014002,530330014002,"Block Group 2, Census Tract 14, King County, Washington",743,230
1500000US530330014003,530330014003,"Block Group 3, Census Tract 14, King County, Washington",1423,348
1500000US530330014004,530330014004,"Block Group 4, Census Tract 14, King County, Washington",1484,264
1500000US530330015001,530330015001,"Block Group 1, Census Tract 15, King County, Washington",1364,194
1500000US530330015002,530330015002,"Block Group 2, Census Tract 15, King County, Washington",1204,207
1500000US530330016001,530330016001,"Block Group 1, Census Tract 16, King County, Washington",1176,164
1500000US530330016002,530330016002,"Block Group 2, Census Tract 16, King County, Washington",1191,163
1500000US530330016003,530330016003,"Block Group 3, Census Tract 16, King County, Washington",1587,249
1500000US530330017011,530330017011,"Block Group 1, Census Tract 17.01, King County, Washington",1756,302
1500000US530330017012,530330017012,"Block Group 2, Census Tract 17.01, King County, Washington",962,216
1500000US530330017013,530330017013,"Block Group 3, Census Tract 17.01, King County, Washington",1318,233
1500000US530330017021,530330017021,"Block Group 1, Census Tract 17.02, King County, Washington",1452,296
1500000US530330017022,530330017022,"Block Group 2, Census Tract 17.02, King County, Washington",874,192
1500000US530330017023,530330017023,"Block Group 3, Census Tract 17.02, King County, Washington",970,190
1500000US530330017024,530330017024,"Block Group 4, Census Tract 17.02, King County, Washington",684,185
1500000US530330018001,530330018001,"Block Group 1, Census Tract 18, King County, Washington",2048,642
1500000US530330018002,530330018002,"Block Group 2, Census Tract 18, King County, Washington",1662,314
1500000US530330018003,530330018003,"Block Group 3, Census Tract 18, King County, Washington",1394,402
1500000US530330019001,530330019001,"Block Group 1, Census Tract 19, King County, Washington",1961,279
1500000US530330019002,530330019002,"Block Group 2, Census Tract 19, King County, Washington",1360,263
1500000US530330019003,530330019003,"Block Group 3, Census Tract 19, King County, Washington",1024,202
1500000US530330020001,530330020001,"Block Group 1, Census Tract 20, King County, Washington",1361,235
1500000US530330020002,530330020002,"Block Group 2, Census Tract 20, King County, Washington",1200,210
1500000US530330020003,530330020003,"Block Group 3, Census Tract 20, King County, Washington",888,163
1500000US530330021001,530330021001,"Block Group 1, Census Tract 21, King County, Washington",1520,286
1500000US530330021002,530330021002,"Block Group 2, Census Tract 21, King County, Washington",892,151
1500000US530330021003,530330021003,"Block Group 3, Census Tract 21, King County, Washington",1469,235
1500000US530330022001,530330022001,"Block Group 1, Census Tract 22, King County, Washington",1652,276
1500000US530330022002,530330022002,"Block Group 2, Census Tract 22, King County, Washington",1277,239
1500000US530330022003,530330022003,"Block Group 3, Census Tract 22, King County, Washington",1370,258
1500000US530330022004,530330022004,"Block Group 4, Census Tract 22, King County, Washington",1057,230
1500000US530330024001,530330024001,"Block Group 1, Census Tract 24, King County, Washington",844,147
1500000US530330024002,530330024002,"Block Group 2, Census Tract 24, King County, Washington",772,168
1500000US530330024003,530330024003,"Block Group 3, Census Tract 24, King County, Washington",1313,178
1500000US530330025001,530330025001,"Block Group 1, Census Tract 25, King County, Washington",1332,179
1500000US530330025002,530330025002,"Block Group 2, Census Tract 25, King County, Washington",1618,216
1500000US530330026001,530330026001,"Block Group 1, Census Tract 26, King County, Washington",1262,211
1500000US530330026002,530330026002,"Block Group 2, Census Tract 26, King County, Washington",1478,260
1500000US530330026003,530330026003,"Block Group 3, Census Tract 26, King County, Washington",1146,218
1500000US530330026004,530330026004,"Block Group 4, Census Tract 26, King County, Washington",980,181
1500000US530330027001,530330027001,"Block Group 1, Census Tract 27, King County, Washington",1571,318
1500000US530330027002,530330027002,"Block Group 2, Census Tract 27, King County, Washington",1300,303
1500000US530330027003,530330027003,"Block Group 3, Census Tract 27, King County, Washington",902,209
1500000US530330027004,530330027004,"Block Group 4, Census Tract 27, King County, Washington",1405,238
1500000US530330028001,530330028001,"Block Group 1, Census Tract 28, King County, Washington",1065,279
1500000US530330028002,530330028002,"Block Group 2, Census Tract 28, King County, Washington",999,287
1500000US530330028003,530330028003,"Block Group 3, Census Tract 28, King County, Washington",1056,220
1500000US530330028004,530330028004,"Block Group 4, Census Tract 28, King County, Washington",1488,297
1500000US530330029001,530330029001,"Block Group 1, Census Tract 29, King County, Washington",1495,246
1500000US530330029002,530330029002,"Block Group 2, Census Tract 29, King County, Washington",1362,203
1500000US530330029003,530330029003,"Block Group 3, Census Tract 29, King County, Washington",1184,177
1500000US530330030001,530330030001,"Block Group 1, Census Tract 30, King County, Washington",1570,254
1500000US530330030002,530330030002,"Block Group 2, Census Tract 30, King County, Washington",1432,290
1500000US530330030003,530330030003,"Block Group 3, Census Tract 30, King County, Washington",1394,298
1500000US530330030004,530330030004,"Block Group 4, Census Tract 30, King County, Washington",1139,290
1500000US530330031001,530330031001,"Block Group 1, Census Tract 31, King County, Washington",1316,272
1500000US530330031002,530330031002,"Block Group 2, Census Tract 31, King County, Washington",937,200
1500000US530330031003,530330031003,"Block Group 3, Census Tract 31, King County, Washington",970,202
1500000US530330031004,530330031004,"Block Group 4, Census Tract 31, King County, Washington",1728,292
1500000US530330031005,530330031005,"Block Group 5, Census Tract 31, King County, Washington",1222,264
1500000US530330032001,530330032001,"Block Group 1, Census Tract 32, King County, Washington",808,206
1500000US530330032002,530330032002,"Block Group 2, Census Tract 32, King County, Washington",1328,306
1500000US530330032003,530330032003,"Block Group 3, Census Tract 32, King County, Washington",1202,234
1500000US530330032004,530330032004,"Block Group 4, Census Tract 32, King County, Washington",1017,198
1500000US530330032005,530330032005,"Block Group 5, Census Tract 32, King County, Washington",656,222
1500000US530330032006,530330032006,"Block Group 6, Census Tract 32, King County, Washington",1732,537
1500000US530330032007,530330032007,"Block Group 7, Census Tract 32, King County, Washington",999,257
1500000US530330033001,530330033001,"Block Group 1, Census Tract 33, King County, Washington",1287,261
1500000US530330033002,530330033002,"Block Group 2, Census Tract 33, King County, Washington",872,244
1500000US530330033003,530330033003,"Block Group 3, Census Tract 33, King County, Washington",1961,291
1500000US530330033004,530330033004,"Block Group 4, Census Tract 33, King County, Washington",879,182
1500000US530330033005,530330033005,"Block Group 5, Census Tract 33, King County, Washington",1070,225
1500000US530330034001,530330034001,"Block Group 1, Census Tract 34, King County, Washington",1251,216
1500000US530330034002,530330034002,"Block Group 2, Census Tract 34, King County, Washington",1238,240
1500000US530330034003,530330034003,"Block Group 3, Census Tract 34, King County, Washington",961,209
1500000US530330035001,530330035001,"Block Group 1, Census Tract 35, King County, Washington",1379,268
1500000US530330035002,530330035002,"Block Group 2, Census Tract 35, King County, Washington",1373,200
1500000US530330035003,530330035003,"Block Group 3, Census Tract 35, King County, Washington",1098,223
1500000US530330036001,530330036001,"Block Group 1, Census Tract 36, King County, Washington",1303,337
1500000US530330036002,530330036002,"Block Group 2, Census Tract 36, King County, Washington",1450,269
1500000US530330036003,530330036003,"Block Group 3, Census Tract 36, King County, Washington",1162,198
1500000US530330036004,530330036004,"Block Group 4, Census Tract 36, King County, Washington",2040,342
1500000US530330038001,530330038001,"Block Group 1, Census Tract 38, King County, Washington",1126,173
1500000US530330038002,530330038002,"Block Group 2, Census Tract 38, King County, Washington",1075,148
1500000US530330039001,530330039001,"Block Group 1, Census Tract 39, King County, Washington",2110,259
1500000US530330039002,530330039002,"Block Group 2, Census Tract 39, King County, Washington",982,183
1500000US530330040001,530330040001,"Block Group 1, Census Tract 40, King County, Washington",1992,260
1500000US530330040002,530330040002,"Block Group 2, Census Tract 40, King County, Washington",978,189
1500000US530330041001,530330041001,"Block Group 1, Census Tract 41, King County, Washington",1172,269
1500000US530330041002,530330041002,"Block Group 2, Census Tract 41, King County, Washington",1939,386
1500000US530330041003,530330041003,"Block Group 3, Census Tract 41, King County, Washington",1545,294
1500000US530330041004,530330041004,"Block Group 4, Census Tract 41, King County, Washington",1435,309
1500000US530330041005,530330041005,"Block Group 5, Census Tract 41, King County, Washington",1027,264
1500000US530330041006,530330041006,"Block Group 6, Census Tract 41, King County, Washington",975,370
1500000US530330042001,530330042001,"Block Group 1, Census Tract 42, King County, Washington",1591,260
1500000US530330042002,530330042002,"Block Group 2, Census Tract 42, King County, Washington",1510,249
1500000US530330042003,530330042003,"Block Group 3, Census Tract 42, King County, Washington",1340,250
1500000US530330042004,530330042004,"Block Group 4, Census Tract 42, King County, Washington",2025,528
1500000US530330042005,530330042005,"Block Group 5, Census Tract 42, King County, Washington",1546,259
1500000US530330043011,530330043011,"Block Group 1, Census Tract 43.01, King County, Washington",1208,268
1500000US530330043012,530330043012,"Block Group 2, Census Tract 43.01, King County, Washington",1097,251
1500000US530330043013,530330043013,"Block Group 3, Census Tract 43.01, King County, Washington",1236,247
1500000US530330043021,530330043021,"Block Group 1, Census Tract 43.02, King County, Washington",1831,431
1500000US530330043022,530330043022,"Block Group 2, Census Tract 43.02, King County, Washington",1712,379
1500000US530330044001,530330044001,"Block Group 1, Census Tract 44, King County, Washington",1568,441
1500000US530330044002,530330044002,"Block Group 2, Census Tract 44, King County, Washington",1710,434
1500000US530330044003,530330044003,"Block Group 3, Census Tract 44, King County, Washington",1193,504
1500000US530330044004,530330044004,"Block Group 4, Census Tract 44, King County, Washington",1727,535
1500000US530330045001,530330045001,"Block Group 1, Census Tract 45, King County, Washington",1241,315
1500000US530330045002,530330045002,"Block Group 2, Census Tract 45, King County, Washington",1809,286
1500000US530330046001,530330046001,"Block Group 1, Census Tract 46, King County, Washington",1043,223
1500000US530330046002,530330046002,"Block Group 2, Census Tract 46, King County, Washington",1346,245
1500000US530330046003,530330046003,"Block Group 3, Census Tract 46, King County, Washington",944,155
1500000US530330047001,530330047001,"Block Group 1, Census Tract 47, King County, Washington",1154,306
1500000US530330047002,530330047002,"Block Group 2, Census Tract 47, King County, Washington",1394,365
1500000US530330047003,530330047003,"Block Group 3, Census Tract 47, King County, Washington",2346,408
1500000US530330047004,530330047004,"Block Group 4, Census Tract 47, King County, Washington",2531,433
1500000US530330048001,530330048001,"Block Group 1, Census Tract 48, King County, Washington",904,183
1500000US530330048002,530330048002,"Block Group 2, Census Tract 48, King County, Washington",1382,363
1500000US530330048003,530330048003,"Block Group 3, Census Tract 48, King County, Washington",1274,323
1500000US530330048004,530330048004,"Block Group 4, Census Tract 48, King County, Washington",1230,290
1500000US530330049001,530330049001,"Block Group 1, Census Tract 49, King County, Washington",1125,223
1500000US530330049002,530330049002,"Block Group 2, Census Tract 49, King County, Washington",880,252
1500000US530330049003,530330049003,"Block Group 3, Census Tract 49, King County, Washington",1251,265
