Id,Id2,Geography,Med_Hh_Income,Margin of Error; Median household income in the past 12 months (in 2014 Inflation-adjusted dollars)
1500000US530330001001,530330001001,"Block Group 1, Census Tract 1, King County, Washington",100694,28265
1500000US530330001002,530330001002,"Block Group 2, Census Tract 1, King County, Washington",36532,20471
1500000US530330001003,530330001003,"Block Group 3, Census Tract 1, King County, Washington",61190,17447
1500000US530330001004,530330001004,"Block Group 4, Census Tract 1, King County, Washington",22260,4111
1500000US530330001005,530330001005,"Block Group 5, Census Tract 1, King County, Washington",34554,14820
1500000US530330002001,530330002001,"Block Group 1, Census Tract 2, King County, Washington",84485,10675
1500000US530330002002,530330002002,"Block Group 2, Census Tract 2, King County, Washington",33618,39737
1500000US530330002003,530330002003,"Block Group 3, Census Tract 2, King County, Washington",42370,9434
1500000US530330002004,530330002004,"Block Group 4, Census Tract 2, King County, Washington",51146,9926
1500000US530330002005,530330002005,"Block Group 5, Census Tract 2, King County, Washington",51724,30787
1500000US530330002006,530330002006,"Block Group 6, Census Tract 2, King County, Washington",83750,33559
1500000US530330003001,530330003001,"Block Group 1, Census Tract 3, King County, Washington",57446,23772
1500000US530330003002,530330003002,"Block Group 2, Census Tract 3, King County, Washington",77708,25203
1500000US530330004011,530330004011,"Block Group 1, Census Tract 4.01, King County, Washington",31619,1198
1500000US530330004012,530330004012,"Block Group 2, Census Tract 4.01, King County, Washington",55391,19195
1500000US530330004013,530330004013,"Block Group 3, Census Tract 4.01, King County, Washington",25424,5871
1500000US530330004021,530330004021,"Block Group 1, Census Tract 4.02, King County, Washington",41500,28443
1500000US530330004022,530330004022,"Block Group 2, Census Tract 4.02, King County, Washington",61265,6895
1500000US530330004023,530330004023,"Block Group 3, Census Tract 4.02, King County, Washington",50441,29312
1500000US530330004024,530330004024,"Block Group 4, Census Tract 4.02, King County, Washington",59922,15283
1500000US530330005001,530330005001,"Block Group 1, Census Tract 5, King County, Washington",116250,24490
